,Assert,gcc_assert,gcc_checking_assert,ASSERT_ALWAYS,FFI_ASSERT,CHECK,_Static_assert,VERIFY,DEBUG,path
136,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-expr.h
137,0.0,22.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-fold.c
138,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-isel.cc
139,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-iterator.c
140,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-loop-interchange.cc
141,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-loop-jam.c
142,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-loop-versioning.cc
143,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-low.c
144,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-match-head.c
145,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-predict.h
146,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,../gcc-11.2.0/gcc/gimple-pretty-print.c
147,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-range-cache.cc
148,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-range-edge.cc
149,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,../gcc-11.2.0/gcc/gimple-range-gori.cc
150,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-range.cc
151,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-range.h
152,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa-evrp-analyze.c
153,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa-isolate-paths.c
154,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa-split-paths.c
155,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa-sprintf.c
156,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,../gcc-11.2.0/gcc/gimple-ssa-store-merging.c
